SCATS Number,Location,15 Minutes,Lane 1 Flow (Veh/15 Minutes),# Lane Points,% Observed
4051,SEVERN_ST S of DONCASTER_RD,22-10-2006 17:00,11,1,100
4051,SEVERN_ST S of DONCASTER_RD,22-10-2006 17:15,12,1,100
4051,SEVERN_ST S of DONCASTER_RD,22-10-2006 17:30,14,1,100
4051,SEVERN_ST S of DONCASTER_RD,22-10-2006 17:45,18,1,100
4051,SEVERN_ST S of DONCASTER_RD,22-10-2006 18:00,19,1,100
4051,SEVERN_ST S of DONCASTER_RD,22-10-2006 18:15,11,1,100
4051,SEVERN_ST S of DONCASTER_RD,22-10-2006 18:30,15,1,100
4051,SEVERN_ST S of DONCASTER_RD,22-10-2006 18:45,7,1,100
4051,SEVERN_ST S of DONCASTER_RD,22-10-2006 19:00,7,1,100
4051,SEVERN_ST S of DONCASTER_RD,22-10-2006 19:15,8,1,100
4051,SEVERN_ST S of DONCASTER_RD,22-10-2006 19:30,7,1,100
4051,SEVERN_ST S of DONCASTER_RD,22-10-2006 19:45,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,22-10-2006 20:00,5,1,100
4051,SEVERN_ST S of DONCASTER_RD,22-10-2006 20:15,3,1,100
4051,SEVERN_ST S of DONCASTER_RD,22-10-2006 20:30,10,1,100
4051,SEVERN_ST S of DONCASTER_RD,22-10-2006 20:45,7,1,100
4051,SEVERN_ST S of DONCASTER_RD,22-10-2006 21:00,7,1,100
4051,SEVERN_ST S of DONCASTER_RD,22-10-2006 21:15,5,1,100
4051,SEVERN_ST S of DONCASTER_RD,22-10-2006 21:30,2,1,100
4051,SEVERN_ST S of DONCASTER_RD,22-10-2006 21:45,3,1,100
4051,SEVERN_ST S of DONCASTER_RD,22-10-2006 22:00,2,1,100
4051,SEVERN_ST S of DONCASTER_RD,22-10-2006 22:15,6,1,100
4051,SEVERN_ST S of DONCASTER_RD,22-10-2006 22:30,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,22-10-2006 22:45,5,1,100
4051,SEVERN_ST S of DONCASTER_RD,22-10-2006 23:00,3,1,100
4051,SEVERN_ST S of DONCASTER_RD,22-10-2006 23:15,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,22-10-2006 23:30,2,1,100
4051,SEVERN_ST S of DONCASTER_RD,22-10-2006 23:45,1,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 00:00,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 00:15,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 00:30,1,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 00:45,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 01:00,1,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 01:15,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 01:30,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 01:45,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 02:00,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 02:15,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 02:30,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 02:45,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 03:00,1,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 03:15,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 03:30,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 03:45,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 04:00,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 04:15,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 04:30,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 04:45,3,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 05:00,2,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 05:15,1,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 05:30,1,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 05:45,3,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 06:00,6,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 06:15,6,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 06:30,5,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 06:45,5,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 07:00,11,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 07:15,11,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 07:30,14,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 07:45,28,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 08:00,37,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 08:15,41,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 08:30,43,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 08:45,42,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 09:00,28,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 09:15,16,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 09:30,21,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 09:45,19,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 10:00,14,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 10:15,15,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 10:30,25,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 10:45,16,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 11:00,15,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 11:15,17,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 11:30,17,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 11:45,17,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 12:00,18,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 12:15,17,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 12:30,17,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 12:45,17,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 13:00,23,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 13:15,21,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 13:30,13,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 13:45,14,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 14:00,17,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 14:15,16,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 14:30,19,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 14:45,19,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 15:00,24,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 15:15,39,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 15:30,47,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 15:45,48,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 16:00,43,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 16:15,30,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 16:30,35,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 16:45,41,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 17:00,50,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 17:15,48,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 17:30,55,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 17:45,43,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 18:00,40,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 18:15,35,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 18:30,20,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 18:45,15,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 19:00,18,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 19:15,11,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 19:30,11,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 19:45,12,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 20:00,10,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 20:15,6,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 20:30,10,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 20:45,14,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 21:00,11,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 21:15,10,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 21:30,5,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 21:45,6,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 22:00,5,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 22:15,4,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 22:30,4,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 22:45,4,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 23:00,1,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 23:15,1,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 23:30,2,1,100
4051,SEVERN_ST S of DONCASTER_RD,23-10-2006 23:45,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 00:00,2,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 00:15,2,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 00:30,1,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 00:45,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 01:00,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 01:15,1,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 01:30,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 01:45,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 02:00,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 02:15,1,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 02:30,2,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 02:45,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 03:00,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 03:15,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 03:30,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 03:45,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 04:00,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 04:15,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 04:30,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 04:45,5,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 05:00,1,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 05:15,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 05:30,2,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 05:45,5,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 06:00,4,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 06:15,8,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 06:30,4,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 06:45,10,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 07:00,11,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 07:15,20,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 07:30,15,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 07:45,20,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 08:00,41,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 08:15,45,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 08:30,52,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 08:45,41,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 09:00,23,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 09:15,20,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 09:30,18,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 09:45,18,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 10:00,16,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 10:15,23,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 10:30,23,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 10:45,24,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 11:00,16,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 11:15,17,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 11:30,14,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 11:45,18,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 12:00,17,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 12:15,13,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 12:30,16,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 12:45,18,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 13:00,16,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 13:15,14,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 13:30,22,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 13:45,20,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 14:00,15,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 14:15,15,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 14:30,18,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 14:45,21,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 15:00,28,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 15:15,48,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 15:30,39,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 15:45,52,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 16:00,51,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 16:15,39,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 16:30,28,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 16:45,41,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 17:00,50,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 17:15,47,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 17:30,57,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 17:45,52,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 18:00,40,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 18:15,35,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 18:30,29,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 18:45,25,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 19:00,15,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 19:15,18,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 19:30,10,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 19:45,11,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 20:00,8,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 20:15,11,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 20:30,9,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 20:45,9,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 21:00,5,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 21:15,7,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 21:30,8,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 21:45,3,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 22:00,1,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 22:15,6,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 22:30,3,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 22:45,1,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 23:00,5,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 23:15,2,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 23:30,3,1,100
4051,SEVERN_ST S of DONCASTER_RD,24-10-2006 23:45,2,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 00:00,4,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 00:15,1,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 00:30,2,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 00:45,1,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 01:00,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 01:15,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 01:30,1,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 01:45,1,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 02:00,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 02:15,2,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 02:30,2,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 02:45,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 03:00,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 03:15,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 03:30,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 03:45,1,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 04:00,1,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 04:15,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 04:30,1,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 04:45,1,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 05:00,6,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 05:15,0,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 05:30,1,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 05:45,1,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 06:00,6,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 06:15,4,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 06:30,7,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 06:45,7,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 07:00,9,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 07:15,15,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 07:30,22,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 07:45,28,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 08:00,39,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 08:15,37,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 08:30,43,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 08:45,41,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 09:00,27,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 09:15,20,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 09:30,23,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 09:45,25,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 10:00,11,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 10:15,24,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 10:30,13,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 10:45,12,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 11:00,19,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 11:15,22,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 11:30,12,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 11:45,20,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 12:00,16,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 12:15,14,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 12:30,23,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 12:45,20,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 13:00,11,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 13:15,20,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 13:30,15,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 13:45,17,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 14:00,11,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 14:15,11,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 14:30,14,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 14:45,18,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 15:00,27,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 15:15,46,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 15:30,39,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 15:45,46,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 16:00,37,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 16:15,36,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 16:30,34,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 16:45,41,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 17:00,40,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 17:15,51,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 17:30,50,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 17:45,48,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 18:00,40,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 18:15,31,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 18:30,25,1,100
4051,SEVERN_ST S of DONCASTER_RD,25-10-2006 18:45,23,1,100
